x,y,z,rx,ry,rz,时间戳(秒)
400.0,-79.454,200.0,180.0,0.0,0.0,1.82
400.0,-79.204,200.0,180.0,0.0,0.0,1.83
400.0,-78.954,200.0,180.0,0.0,0.0,1.84
400.0,-78.704,200.0,180.0,0.0,0.0,1.85
400.0,-78.453,200.0,180.0,0.0,0.0,1.86
400.0,-78.203,200.0,180.0,0.0,0.0,1.87
400.0,-77.953,200.0,180.0,0.0,0.0,1.88
400.0,-77.703,200.0,180.0,0.0,0.0,1.89
400.0,-77.452,200.0,180.0,0.0,0.0,1.9
400.0,-77.202,200.0,180.0,0.0,0.0,1.91
400.0,-76.952,200.0,180.0,0.0,0.0,1.92
400.0,-76.702,200.0,180.0,0.0,0.0,1.93
400.0,-76.451,200.0,180.0,0.0,0.0,1.94
400.0,-76.201,200.0,180.0,0.0,0.0,1.95
400.0,-75.951,200.0,180.0,0.0,0.0,1.96
400.0,-75.701,200.0,180.0,0.0,0.0,1.97
400.0,-75.45,200.0,180.0,0.0,0.0,1.98
400.0,-75.2,200.0,180.0,0.0,0.0,1.99
400.0,-74.95,200.0,180.0,0.0,0.0,2.0
400.0,-74.7,200.0,180.0,0.0,0.0,2.01
400.0,-74.449,200.0,180.0,0.0,0.0,2.02
400.0,-74.199,200.0,180.0,0.0,0.0,2.03
400.0,-73.949,200.0,180.0,0.0,0.0,2.04
400.0,-73.699,200.0,180.0,0.0,0.0,2.05
400.0,-73.448,200.0,180.0,0.0,0.0,2.06
400.0,-73.198,200.0,180.0,0.0,0.0,2.07
400.0,-72.948,200.0,180.0,0.0,0.0,2.08
400.0,-72.698,200.0,180.0,0.0,0.0,2.09
400.0,-72.447,200.0,180.0,0.0,0.0,2.1
400.0,-72.197,200.0,180.0,0.0,0.0,2.11
400.0,-71.947,200.0,180.0,0.0,0.0,2.12
400.0,-71.697,200.0,180.0,0.0,0.0,2.13
400.0,-71.446,200.0,180.0,0.0,0.0,2.14
400.0,-71.196,200.0,180.0,0.0,0.0,2.15
400.0,-70.946,200.0,180.0,0.0,0.0,2.16
400.0,-70.696,200.0,180.0,0.0,0.0,2.17
400.0,-70.445,200.0,180.0,0.0,0.0,2.18
400.0,-70.195,200.0,180.0,0.0,0.0,2.19
400.0,-69.945,200.0,180.0,0.0,0.0,2.2
400.0,-69.695,200.0,180.0,0.0,0.0,2.21
400.0,-69.444,200.0,180.0,0.0,0.0,2.22
400.0,-69.194,200.0,180.0,0.0,0.0,2.23
400.0,-68.944,200.0,180.0,0.0,0.0,2.24
400.0,-68.694,200.0,180.0,0.0,0.0,2.25
400.0,-68.443,200.0,180.0,0.0,0.0,2.26
400.0,-68.193,200.0,180.0,0.0,0.0,2.27
400.0,-67.943,200.0,180.0,0.0,0.0,2.28
400.0,-67.693,200.0,180.0,0.0,0.0,2.29
400.0,-67.442,200.0,180.0,0.0,0.0,2.3
400.0,-67.192,200.0,180.0,0.0,0.0,2.31
400.0,-66.942,200.0,180.0,0.0,0.0,2.32
400.0,-66.692,200.0,180.0,0.0,0.0,2.33
400.0,-66.441,200.0,180.0,0.0,0.0,2.34
400.0,-66.191,200.0,180.0,0.0,0.0,2.35
400.0,-65.941,200.0,180.0,0.0,0.0,2.36
400.0,-65.691,200.0,180.0,0.0,0.0,2.37
400.0,-65.44,200.0,180.0,0.0,0.0,2.38
400.0,-65.19,200.0,180.0,0.0,0.0,2.39
400.0,-64.94,200.0,180.0,0.0,0.0,2.4
400.0,-64.69,200.0,180.0,0.0,0.0,2.41
400.0,-64.439,200.0,180.0,0.0,0.0,2.42
400.0,-64.189,200.0,180.0,0.0,0.0,2.43
400.0,-63.939,200.0,180.0,0.0,0.0,2.44
400.0,-63.689,200.0,180.0,0.0,0.0,2.45
400.0,-63.438,200.0,180.0,0.0,0.0,2.46
400.0,-63.188,200.0,180.0,0.0,0.0,2.47
400.0,-62.938,200.0,180.0,0.0,0.0,2.48
400.0,-62.688,200.0,180.0,0.0,0.0,2.49
400.0,-62.437,200.0,180.0,0.0,0.0,2.5
400.0,-62.187,200.0,180.0,0.0,0.0,2.51
400.0,-61.937,200.0,180.0,0.0,0.0,2.52
400.0,-61.687,200.0,180.0,0.0,0.0,2.53
400.0,-61.436,200.0,180.0,0.0,0.0,2.54
400.0,-61.186,200.0,180.0,0.0,0.0,2.55
400.0,-60.936,200.0,180.0,0.0,0.0,2.56
400.0,-60.686,200.0,180.0,0.0,0.0,2.57
400.0,-60.435,200.0,180.0,0.0,0.0,2.58
400.0,-60.185,200.0,180.0,0.0,0.0,2.59
400.0,-59.935,200.0,180.0,0.0,0.0,2.6
400.0,-59.685,200.0,180.0,0.0,0.0,2.61
400.0,-59.434,200.0,180.0,0.0,0.0,2.62
400.0,-59.184,200.0,180.0,0.0,0.0,2.63
400.0,-58.934,200.0,180.0,0.0,0.0,2.64
400.0,-58.684,200.0,180.0,0.0,0.0,2.65
400.0,-58.433,200.0,180.0,0.0,0.0,2.66
400.0,-58.183,200.0,180.0,0.0,0.0,2.67
400.0,-57.933,200.0,180.0,0.0,0.0,2.68
400.0,-57.683,200.0,180.0,0.0,0.0,2.69
400.0,-57.432,200.0,180.0,0.0,0.0,2.7
400.0,-57.182,200.0,180.0,0.0,0.0,2.71
400.0,-56.932,200.0,180.0,0.0,0.0,2.72
400.0,-56.682,200.0,180.0,0.0,0.0,2.73
400.0,-56.431,200.0,180.0,0.0,0.0,2.74
400.0,-56.181,200.0,180.0,0.0,0.0,2.75
400.0,-55.931,200.0,180.0,0.0,0.0,2.76
400.0,-55.681,200.0,180.0,0.0,0.0,2.77
400.0,-55.43,200.0,180.0,0.0,0.0,2.78
400.0,-55.18,200.0,180.0,0.0,0.0,2.79
400.0,-54.93,200.0,180.0,0.0,0.0,2.8
400.0,-54.68,200.0,180.0,0.0,0.0,2.81
400.0,-54.429,200.0,180.0,0.0,0.0,2.82
400.0,-54.179,200.0,180.0,0.0,0.0,2.83
400.0,-53.929,200.0,180.0,0.0,0.0,2.84
400.0,-53.679,200.0,180.0,0.0,0.0,2.85
400.0,-53.428,200.0,180.0,0.0,0.0,2.86
400.0,-53.178,200.0,180.0,0.0,0.0,2.87
400.0,-52.928,200.0,180.0,0.0,0.0,2.88
400.0,-52.678,200.0,180.0,0.0,0.0,2.89
