x,y,z,rx,ry,rz
363.99354641289324,-5.890925990762572,200.0,180,0,0
364.50715772887753,-5.9001182839544875,200.0,180,0,0
365.0433711994938,-5.874269869765254,200.0,180,0,0
365.75549387967476,-6.273907989166078,200.0,180,0,0
366.27402469050287,-6.2404748754660915,200.0,180,0,0
366.62717332269057,-5.768071989444181,200.0,180,0,0
367.38419069357866,-5.624246747247453,200.0,180,0,0
368.036281775841,-5.595938593854333,200.0,180,0,0
368.64464783749906,-5.602375012164255,200.0,180,0,0
369.2358816723586,-5.678917019577548,200.0,180,0,0
370.03165869959145,-5.702366130415572,200.0,180,0,0
370.66409473718664,-5.766833054464336,200.0,180,0,0
371.5319670186916,-6.105013955279627,200.0,180,0,0
372.0396726473927,-6.125066571197299,200.0,180,0,0
372.3448648053691,-6.109455990451263,200.0,180,0,0
372.8498526711844,-5.566107456973794,200.0,180,0,0
373.44034112803723,-5.525289082076883,200.0,180,0,0
373.8303687705223,-5.423170621811394,200.0,180,0,0
374.38009078408936,-5.4136096699181575,200.0,180,0,0
374.9336199591673,-5.419635124429887,200.0,180,0,0
375.66606279054446,-5.40797100486355,200.0,180,0,0
376.44947801022124,-5.483086726153706,200.0,180,0,0
377.6071876627661,-5.863095280605587,200.0,180,0,0
378.21980811273886,-5.88578894328517,200.0,180,0,0
378.89967312626374,-5.39078304836269,200.0,180,0,0
379.55851848000157,-5.364674760006951,200.0,180,0,0
380.24397956225306,-5.364928590588186,200.0,180,0,0
380.8183678541627,-5.402386732076351,200.0,180,0,0
381.45789071649796,-5.463445074034228,200.0,180,0,0
382.2670616131423,-5.611192603069583,200.0,180,0,0
382.796520812283,-5.600761374897823,200.0,180,0,0
383.57937413161625,-5.973372580982244,200.0,180,0,0
384.01876873284806,-6.017684148163789,200.0,180,0,0
384.2646058667888,-5.587791840913699,200.0,180,0,0
384.6728436673435,-5.538161918696726,200.0,180,0,0
385.1275471860961,-5.504819458775752,200.0,180,0,0
385.52223057428404,-5.489148442177041,200.0,180,0,0
385.84804103465933,-5.461360037116928,200.0,180,0,0
386.2606134950064,-5.428634022893243,200.0,180,0,0
386.5447057217182,-5.403825105370023,200.0,180,0,0
386.89560675253205,-5.3815484500738995,200.0,180,0,0
387.23474227819503,-5.369310189907147,200.0,180,0,0
387.6826341887025,-5.366004348765808,200.0,180,0,0
388.18568407170056,-5.426887426750926,200.0,180,0,0
388.54245638773585,-5.439591042983278,200.0,180,0,0
389.07956431196,-5.8449947427293285,200.0,180,0,0
389.51832820872465,-5.853401369836465,200.0,180,0,0
389.8417075900629,-5.887481147160079,200.0,180,0,0
390.1449044284524,-5.8757686789116015,200.0,180,0,0
390.3513626689351,-5.8433629747070945,200.0,180,0,0
390.58103083380894,-5.847792922708196,200.0,180,0,0
390.82521666878125,-5.411113669202668,200.0,180,0,0
391.06743011887437,-5.464430178432835,200.0,180,0,0
391.3370046754878,-5.447351006466789,200.0,180,0,0
391.5626592664798,-5.459583223048274,200.0,180,0,0
391.68370865475663,-5.514144710843553,200.0,180,0,0
391.90711564437476,-5.586909477464639,200.0,180,0,0
392.072314345352,-5.655310775522567,200.0,180,0,0
392.19804241403966,-5.689088373582805,200.0,180,0,0
392.3183808263717,-5.723494504510864,200.0,180,0,0
392.42546297753967,-5.77465949738579,200.0,180,0,0
392.54882877131405,-5.8360562801186475,200.0,180,0,0
392.60164740359926,-5.881389213210407,200.0,180,0,0
392.66288307368245,-5.989581476669765,200.0,180,0,0
392.70212435889306,-6.07057760642523,200.0,180,0,0
392.77645574718514,-6.200345469289678,200.0,180,0,0
392.78037758223536,-6.378848803751505,200.0,180,0,0
392.7921430873862,-6.5277627447434945,200.0,180,0,0
392.837324461942,-6.635689090451082,200.0,180,0,0
392.85411266812207,-6.7853645231867805,200.0,180,0,0
392.82468743789104,-7.070126173822357,200.0,180,0,0
392.8165914860037,-7.236445640384838,200.0,180,0,0
392.8609930804909,-7.41104481876384,200.0,180,0,0
392.87789596021054,-7.475481524886266,200.0,180,0,0
392.9719970667092,-7.59872231566178,200.0,180,0,0
393.0307328536317,-7.845820342910096,200.0,180,0,0
393.1015552316156,-8.160207648527113,200.0,180,0,0
393.21643518346826,-8.355264363036712,200.0,180,0,0
393.2429247710885,-8.67412996533697,200.0,180,0,0
393.2394386954883,-8.949028484815932,200.0,180,0,0
393.25485081919464,-9.217266973330075,200.0,180,0,0
393.3123251971829,-9.549446593974707,200.0,180,0,0
393.34200270920064,-10.23964216228267,200.0,180,0,0
393.3471400837695,-10.715399238128061,200.0,180,0,0
393.326223630168,-10.828837333599639,200.0,180,0,0
393.3353287092028,-11.257798928718529,200.0,180,0,0
393.4262877607197,-11.589857677657811,200.0,180,0,0
393.4656207847619,-11.78285352959118,200.0,180,0,0
393.56763436548476,-11.469807899903554,200.0,180,0,0
393.5492407297519,-11.63795252921683,200.0,180,0,0
393.61254052354576,-11.80094802388217,200.0,180,0,0
393.7381080492782,-11.958594945585743,200.0,180,0,0
393.73212209051724,-12.122400280676931,200.0,180,0,0
393.73021850976187,-12.332928573471412,200.0,180,0,0
393.8292735131661,-12.44381627596009,200.0,180,0,0
393.84392879151187,-12.625988066679309,200.0,180,0,0
393.8599372176235,-12.795401848898766,200.0,180,0,0
393.87252837225856,-13.010438656302826,200.0,180,0,0
394.10788434469066,-13.106507487715513,200.0,180,0,0
394.25074464017695,-13.329292171432549,200.0,180,0,0
394.34007532743317,-13.50166126684783,200.0,180,0,0
394.2716381590705,-13.616779479023782,200.0,180,0,0
394.17106946494505,-13.8988154727037,200.0,180,0,0
394.1096961866145,-14.126966860138301,200.0,180,0,0
394.0349290388725,-14.523160135936633,200.0,180,0,0
394.0367179460884,-14.71361768205764,200.0,180,0,0
393.88867440661755,-15.016836442100258,200.0,180,0,0
393.712719327637,-15.21509021321638,200.0,180,0,0
393.5750193414274,-15.540168621171661,200.0,180,0,0
393.4455529153526,-16.4311018741407,200.0,180,0,0
393.33626903222665,-17.377267452869717,200.0,180,0,0
393.3908995064357,-17.71475938496451,200.0,180,0,0
393.55756602871827,-17.69234372720723,200.0,180,0,0
393.5365578362853,-17.913212594394462,200.0,180,0,0
393.501444798496,-18.076310830009348,200.0,180,0,0
393.5266959118898,-18.346924447533628,200.0,180,0,0
393.4776385716996,-18.5117753228761,200.0,180,0,0
393.4567679875139,-18.75602682146341,200.0,180,0,0
393.37470760266086,-19.11542070656774,200.0,180,0,0
393.29847263361347,-19.487481946392812,200.0,180,0,0
393.2289804686876,-19.74012798491673,200.0,180,0,0
393.2320766542536,-20.06711012223128,200.0,180,0,0
393.180863451521,-20.551183171404794,200.0,180,0,0
393.12795308040427,-21.160624353367993,200.0,180,0,0
392.9868358227181,-21.659038830381363,200.0,180,0,0
392.80351870250274,-22.46814193882802,200.0,180,0,0
392.6883635341553,-23.171627351139286,200.0,180,0,0
392.6181145238689,-23.9024478996156,200.0,180,0,0
392.6220822283349,-23.960085572312053,200.0,180,0,0
392.5563054860882,-24.3030952977561,200.0,180,0,0
392.46669958233724,-24.597629425769277,200.0,180,0,0
392.4389715204906,-24.865559691434775,200.0,180,0,0
392.30218892259694,-25.289625982486964,200.0,180,0,0
392.1824926820859,-25.671230043449476,200.0,180,0,0
391.97406205672416,-25.87549718190679,200.0,180,0,0
391.8570491770371,-26.097725855779213,200.0,180,0,0
391.692905472623,-26.345367805701603,200.0,180,0,0
391.4177348472829,-26.749188086107566,200.0,180,0,0
391.1987083868729,-27.25009252025115,200.0,180,0,0
390.984314737458,-27.5106798298166,200.0,180,0,0
390.8638845862944,-28.097874574410014,200.0,180,0,0
390.7554722220685,-28.6426916991075,200.0,180,0,0
390.59029645579915,-29.09583972246705,200.0,180,0,0
390.444317040039,-29.823161035073458,200.0,180,0,0
390.3447116036452,-30.04684621299536,200.0,180,0,0
390.1198138580138,-30.316837341237086,200.0,180,0,0
390.01711223605406,-30.56401997867915,200.0,180,0,0
389.67988029114645,-30.702387863379297,200.0,180,0,0
389.45534950084135,-30.707277123860724,200.0,180,0,0
389.3205392878267,-30.90600229462771,200.0,180,0,0
389.0774772535414,-31.05967858081052,200.0,180,0,0
388.8319841402191,-31.327288536456837,200.0,180,0,0
388.52809926059274,-31.509424065664454,200.0,180,0,0
388.15378189301674,-31.782926516946613,200.0,180,0,0
387.9427137762468,-32.064358152099786,200.0,180,0,0
387.8731757419052,-32.163781173335956,200.0,180,0,0
387.7754509515589,-32.27380464313137,200.0,180,0,0
387.5242012265546,-32.450960258078545,200.0,180,0,0
387.30494541906575,-32.69314485050435,200.0,180,0,0
387.0919737215404,-32.86253445838274,200.0,180,0,0
386.7545124295538,-33.2221640433125,200.0,180,0,0
386.4903045945881,-33.49559397157146,200.0,180,0,0
